Relative_Time(s),Ard_Micros,CH1(V),CH2(V),CH3(V),CH4(V),CH5(V),CH6(V)
24.515100,89719144,1.07578469,1.62404557,1.38482885,1.17225244,1.60984774,0.97713065
24.523230,89727274,1.07348395,1.62135442,1.38349907,1.17128744,1.60871704,0.97542834
24.530407,89734451,1.07191873,1.61880870,1.38140993,1.16906597,1.60621126,0.97445798
24.533444,89737488,1.07092393,1.61809941,1.38034837,1.16697445,1.60038192,0.97646963
24.540469,89744513,1.06949342,1.61577363,1.37462334,1.16886272,1.59929712,0.97574842
24.543745,89747789,1.06759680,1.61189158,1.37893395,1.16453602,1.60319824,0.97139489
24.548340,89752384,1.06714619,1.61312957,1.37617664,1.16280272,1.59885306,0.96942436
24.555546,89759590,1.06515480,1.61077876,1.37411968,1.16167798,1.59770627,0.96841585
24.558657,89762701,1.06432987,1.60827954,1.37181000,1.15960433,1.59537036,0.96660804
24.566774,89770818,1.06242789,1.60716255,1.37084798,1.15874900,1.59308274,0.96486222
24.573909,89777953,1.06056703,1.60512049,1.36899488,1.15700557,1.59193058,0.96419227
24.576937,89780981,1.05977071,1.60416563,1.36691765,1.15451290,1.58757408,0.96063029
24.584975,89789019,1.05655802,1.60180409,1.36603133,1.15392699,1.58878167,0.96169483
24.588098,89792142,1.05663491,1.60013158,1.36457638,1.15262701,1.58678253,0.96026134
24.594342,89798386,1.05588151,1.59909744,1.36376397,1.15079178,1.58515115,0.95893633
24.601509,89805553,1.05415714,1.59747798,1.36207656,1.15002646,1.58406575,0.95801365
24.604625,89808669,1.05339540,1.59543176,1.36031763,1.14792778,1.58197839,0.95641684
24.612688,89816732,1.05187727,1.59445126,1.35942177,1.14738776,1.58021171,0.95517826
24.619877,89823921,1.05018688,1.59278948,1.35759668,1.14573433,1.57926399,0.95448923
24.622909,89826953,1.04949964,1.59186799,1.36110680,1.14422633,1.57644648,0.95593106
24.630037,89834081,1.04688120,1.58748050,1.36052744,1.14345981,1.57495398,0.95263612
24.635623,89839667,1.04530287,1.59232159,1.35454194,1.14257349,1.57585401,0.95160019
24.638830,89842874,1.04671074,1.58865113,1.35324315,1.14115550,1.57421250,0.95025193
24.646042,89850086,1.04563606,1.58706505,1.35243074,1.14013328,1.57331843,0.94963085
24.654182,89858226,1.04374958,1.58516664,1.35084407,1.13856329,1.57165069,0.94827544
24.657288,89861332,1.04339314,1.58440490,1.35014192,1.13743200,1.57010872,0.94682288
24.664411,89868455,1.04205382,1.58270378,1.34909109,1.13659872,1.56950910,0.94630074
24.667434,89871478,1.04147864,1.58249635,1.34578184,1.13712146,1.56441528,0.94739091
24.675470,89879514,1.04047132,1.57842893,1.35084407,1.13155975,1.56858523,0.94397139
24.681750,89885794,1.03913081,1.57930631,1.34590880,1.13324060,1.56572063,0.94355296
24.684860,89888904,1.03836012,1.57864530,1.34467737,1.13190426,1.56432766,0.94226074
24.691999,89896043,1.03730572,1.57722313,1.34385483,1.13122358,1.56371731,0.94177853
24.695091,89899135,1.03591872,1.57559294,1.34254948,1.12968637,1.56178135,0.94050657
24.703233,89907277,1.03525591,1.57498855,1.34188787,1.12840308,1.56037945,0.93897235
24.710397,89914441,1.03397978,1.57346744,1.34064333,1.12753703,1.55960698,0.93850326
24.713429,89917473,1.03361381,1.57143373,1.33608894,1.13031341,1.55919928,0.93462896
24.721461,89925505,1.03377116,1.56838793,1.34380357,1.12981035,1.55753691,0.93644809
24.726716,89930760,1.03126300,1.57056291,1.33809344,1.12464859,1.55668694,0.93584429
24.729851,89933895,1.03059245,1.56966467,1.33708672,1.12375809,1.55543823,0.93489300
24.736009,89940053,1.02962745,1.56866867,1.33653776,1.12305714,1.55469615,0.93433808
24.739124,89943168,1.02835906,1.56707723,1.33486883,1.12163259,1.55299444,0.93291413
24.747239,89951283,1.02777076,1.56632859,1.33462147,1.12001075,1.55155022,0.93144905
24.754402,89958446,1.02656019,1.56477828,1.33336620,1.11931159,1.55095000,0.93107294
24.757434,89961478,1.02594328,1.56459589,1.29041985,1.11917986,1.54623586,0.93181979
24.765471,89969515,1.02501047,1.55981440,1.33523063,1.11452533,1.55059177,0.92866789
24.771745,89975789,1.02343035,1.56159718,1.33057193,1.11632003,1.54750366,0.92793595
24.774861,89978905,1.02268410,1.56109113,1.32972137,1.11511601,1.54633362,0.92687320
24.781994,89986038,1.02178467,1.55987043,1.32893578,1.11446036,1.54547769,0.92619609
24.785091,89989135,1.02022004,1.55814070,1.32751958,1.11299528,1.54394764,0.92486154
24.793234,89997278,1.01982188,1.55766088,1.32750885,1.11170126,1.54268104,0.92339348
24.800401,90004445,1.01846528,1.55610163,1.32623569,1.11096455,1.54214222,0.92277597
24.803429,90007473,1.01779294,1.55881006,1.36300580,1.10965027,1.54118318,0.92026721
24.811490,90015534,1.01783049,1.55445237,1.32433192,1.10920442,1.54011626,0.92037927
24.817697,90021741,1.01555002,1.55308384,1.32339553,1.10800399,1.53915006,0.91956567
24.820831,90024875,1.01472569,1.55269105,1.32263736,1.10701574,1.53812844,0.91863584
24.828020,90032064,1.01381612,1.55141551,1.32226841,1.10614134,1.53732020,0.91793310
24.831126,90035170,1.01224911,1.54995102,1.32100836,1.10486223,1.53568763,0.91653418
24.839256,90043300,1.01154816,1.54964167,1.32040040,1.10380842,1.53478283,0.91509949
24.846406,90050450,1.01042700,1.54836435,1.31970421,1.10304488,1.53406936,0.91462921
24.849430,90053474,1.00996506,1.55385334,1.31867305,1.09808398,1.53759557,0.91149162
24.857492,90061536,1.01087046,1.54735703,1.31435946,1.10324575,1.52903813,0.91185402
24.865770,90069814,1.00732339,1.54520768,1.31724671,1.09978749,1.53083581,0.91122042
24.868858,90072902,1.00620997,1.54473621,1.31667332,1.09852208,1.53026301,0.90999316
24.874985,90079029,1.00547803,1.54346961,1.31617860,1.09792365,1.52915734,0.90929698
24.878090,90082134,1.00420964,1.54268879,1.31514028,1.09651102,1.52788538,0.90801786
24.885321,90089365,1.00369525,1.54212374,1.31466226,1.09549237,1.52686972,0.90660046
24.893317,90097361,1.00239289,1.54089112,1.31367639,1.09492673,1.52626115,0.90585958
24.896349,90100393,1.00174618,1.53751630,1.31803171,1.09415842,1.52288872,0.90656113
24.900766,90104810,1.00197983,1.54301900,1.31287054,1.09278334,1.52485806,0.90380501
24.907894,90111938,0.99969459,1.53899152,1.31188587,1.09225823,1.52397472,0.90326797
24.910966,90115010,0.99941027,1.53850931,1.30933181,1.08999086,1.52199167,0.90151023
24.917254,90121298,0.99785459,1.53714973,1.31069557,1.09056367,1.52273137,0.90072464
24.925301,90129345,0.99677575,1.53636653,1.31035165,1.08940376,1.52161855,0.90003203
24.928329,90132373,0.99628818,1.53604943,1.31004230,1.08844591,1.52102131,0.89851390
24.935395,90139439,0.99532914,1.53516788,1.30908684,1.08772291,1.52029950,0.89818786
24.938422,90142466,0.99457455,1.53394658,1.31349877,1.08679129,1.51828426,0.89513432
24.945836,90149880,0.99646819,1.53100449,1.31021277,1.08597888,1.51887077,0.89583467
24.952902,90156946,0.99220109,1.53311927,1.30761520,1.08529938,1.51832122,0.89496921
24.955960,90160004,0.99204254,1.53291005,1.30754606,1.08443452,1.51799220,0.89387845
24.962032,90166076,0.99107337,1.53220016,1.30721525,1.08385278,1.51746708,0.89355420
24.970175,90174219,0.99003506,1.53181631,1.30661146,1.08278824,1.51666779,0.89232515
24.973281,90177325,0.98943424,1.53125662,1.30642966,1.08197881,1.51608247,0.89087080
24.980410,90184454,0.98841560,1.53083641,1.30597249,1.08127965,1.51568848,0.89054357
24.983442,90187486,0.98787916,1.53021950,1.30543486,1.08061803,1.51495594,0.88953208
